jugador,cfn_id,personaje,pais,mr
Egarovano,2970005688,Zangief,Paraguay,1695
SleidSolen,2425494791,Guile,Chile,1695
Nfms morozin,1482643866,Cammy,Chile,1694
Rang13,1931039757,Marisa,Brasil,1694
PHD_MATHARAZO,3572756432,Ken,Perú,1694
JUNINHO-RAS,2622990354,Cammy,Brasil,1693
Akinator,1869104969,Dhalsim,Brasil,1693
Blacknaimer,2286633756,E. Honda,Venezuela,1692
Uri アモヴォセフッフィ,2153993986,Ken,Brasil,1692
TTVsrmstevo,2609170316,Kimberly,Uruguay,1691
YESUMA,3855301766,Guile,Colombia,1691
Kuztela,2985180508,Ken,Brasil,1691
Lucas Bear,1934360382,Ken,Brasil,1691
LND-HELINHO,3437889564,JP,Brasil,1689
House,3102081595,JP,Brasil,1689
Popibluebeast,4250725960,Luke,Argentina,1689
Birao,2018080542,Guile,Brasil,1689
theforce90,1346704274,Lily,Brasil,1688
Snow,3771375131,Ken,Chile,1688
Budeguita,2157298539,Dhalsim,Brasil,1687
HungryPeruvian,3282893406,Zangief,Perú,1686
Smoke-V,4078253939,Manon,Brasil,1686
KyukiVT,1685962915,A.K.I.,Brasil,1686
Johan-Petrovich,3518032133,JP,Brasil,1684
GustavoPage,2108969751,Luke,Brasil,1684
nightcrawler,1437763374,Ken,Brasil,1684
KrustyS,1266701640,Luke,Colombia,1683
RocksteadyBR,1552508795,Blanka,Brasil,1683
-Dragon_Legend-,3710516941,A.K.I.,Brasil,1682
AkaRed,3269952256,Dhalsim,Brasil,1681
C R T N,3260501088,Kimberly,Brasil,1681
JUNINHO-RAS,2622990354,Dee Jay,Brasil,1681
n2k ganjaman,1847647509,Rashid,Brasil,1680
FGC_KEYZ,2169725393,Cammy,Brasil,1679
Receita Federal,2898259115,Dhalsim,Brasil,1679
PR3DA,2684867467,Blanka,Brasil,1679
Zeon,1108132629,Dee Jay,Brasil,1679
ARC | Mark I-No,2091421145,Juri,Brasil,1678
TheDarkfox,3261314660,Ken,Brasil,1677
just meija,2403541606,Chun-Li,Brasil,1676
Adriansote,1415445032,Kimberly,Venezuela,1676
ArcHighwind,2844960367,Marisa,Brasil,1676
Biya,1548041393,Marisa,Venezuela,1676
Odracir,2743399039,Guile,Perú,1675
Bene15,2607005681,Dhalsim,Argentina,1674
