rank,player,clase
791,Bernier#1840,barbarian
792,TheNicoman#1533,barbarian
793,Skaleski#1800,barbarian
794,Arthorios#1895,barbarian
795,D41mIN47RIX#1604,barbarian
796,Ghost#143797,barbarian
797,Havoc#1998,barbarian
798,SGKyle#1728,barbarian
799,Genji#2319,barbarian
800,Franslei#1113,barbarian
801,FatBlackJew#1412,barbarian
802,Zethive#1697,barbarian
803,jeff#13424,barbarian
804,Teriath#1152,barbarian
805,DirtyUncle#11948,barbarian
806,PaxTristana#1577,barbarian
807,Naga#1592,barbarian
808,Cypher#1378,barbarian
809,Bepis#11405,barbarian
810,HotAsIce#1182,barbarian
811,DConstantine#1169,barbarian
812,bato#1517,barbarian
813,Kiraush#1915,barbarian
814,TrumAn#6584,barbarian
815,PortableRick#1615,barbarian
816,wintersdance#1167,barbarian
817,53274584,m
818,Slap#1865,barbarian
819,DemonWolf#1104,barbarian
820,Hoyashi#1795,barbarian
821,funzy4#1148,barbarian
822,Ralph#1104,barbarian
823,Dirty#11923,barbarian
824,Cvaal#1711,barbarian
825,Petrol#6781,barbarian
826,Kitch#11502,barbarian
827,Grant#1686,barbarian
828,CaNNoN#6733,barbarian
829,8778894,f
830,Ceremony#1575,barbarian
831,guetali#2260,barbarian
832,Float#11367,barbarian
833,Seugahmas#1285,barbarian
834,Naeru#1733,barbarian
835,Gooz#11633,barbarian
836,Sensei#1284,barbarian
837,Elryk#1745,barbarian
838,Ndoki#1703,barbarian
839,Hightower#2102,barbarian
840,tsarvadim#1558,barbarian
841,holyciet#1557,barbarian
842,Minorin#1187,barbarian
843,schaakattack#1784,barbarian
844,nbas0t0a1r#1258,barbarian
845,ZeroReality#1670,barbarian
846,VladHimself#1162,barbarian
847,CarbonPixel#1441,barbarian
848,Osaat#1524,barbarian
849,Whiteiceman#1300,barbarian
850,Kabbage#1503,barbarian
851,DeadlyTokez#1351,barbarian
852,SnoeWhyte#1633,barbarian
853,Nerfles#11451,barbarian
854,ShurikenEnOr#1568,barbarian
855,Pich#11581,barbarian
856,Warborne#1518,barbarian
857,Snow#11143,barbarian
858,Rock#1926,barbarian
859,Rippy#1834,barbarian
860,McManwich#1159,barbarian
861,FirePenguin#1462,barbarian
862,Stychard#1184,barbarian
863,Diredevil#1717,barbarian
864,Millatron#1490,barbarian
865,pootpoot#1120,barbarian
866,XApocalypseX#1117,barbarian
867,PhoenixGold#11774,barbarian
868,loschiavop#1800,barbarian
869,darkover#3969,barbarian
870,LOKI#12349,barbarian
871,Bace#1945,barbarian
872,JPHarvey529#1658,barbarian
873,Port#2478,barbarian
874,insaneslayer#1775,barbarian
875,Jaxin#11795,barbarian
876,Tappy#6327,barbarian
877,Frag#1978,barbarian
878,Agani#1187,barbarian
879,Helel#1804,barbarian
880,Jagr#1381,barbarian
881,Priss#21952,barbarian
882,wrekz#1525,barbarian
883,IllIllI#11130,barbarian
884,BATaTIS#1421,barbarian
